n,figure,caption_note
1,fig_01_completeness,"Source: CRO filing metadata, training partition (n=98,926). Features with zero missing values omitted."
2,fig_02_effect_sizes,"Source: CRO filing metadata, training partition (n=98,926). * Bonferroni-significant. Full table: feature_effect_sizes.csv"
3,fig_03_top_feature_distributions,"Source: CRO filing metadata, training partition (n=98,926). The 6 strongest continuous drivers, from parsimony_top15.csv (SHAP ranking). Binary flags excluded. Densities normalised; axes clipped to the 1st-99th percentile. Effect sizes for all 84 features: feature_effect_sizes.csv."
4,fig_04_binary_odds,"Source: CRO filing metadata, training partition (n=98,926). Fisher's exact test for the p-value; whiskers are the Woolf 95% interval on the log odds ratio. An interval crossing 1.0 is a flag whose direction the data does not establish. A log axis is used because an odds ratio of 4 and one of 0.25 are the same magnitude in opposite directions."
5,fig_05_sector_risk,"Source: CRO filing metadata, training partition (n=98,926). NACE section derived from the code's division (first two digits). Sections with fewer than 50 companies suppressed. Multiplier is relative to the cohort base rate. CSO BRA31 active-enterprise counts, where they pass the plausibility check, are in sector_dissolution_rates.csv."
6,fig_06_age_curve,"Source: CRO filing metadata, training partition (n=98,926). One point per year of company age, years with fewer than 50 companies suppressed, x-axis truncated at the 99th percentile of age. Band is the Wilson score interval, so its width shows where the estimate is thin. The banded version of the same data is in age_band_dissolution_rates.csv."
7,fig_07_county_risk,"Source: CRO filing metadata, training partition (n=98,926). Counties with at least 30 companies. Companies without a resolved county are excluded rather than shown as a category."
8,fig_08_correlation,"Source: CRO filing metadata, training partition (n=98,926). Hierarchically clustered. Values shown where |r| >= 0.30. All 84 features and every pair with |r| > 0.70 are in correlation_high_pairs.csv."
9,fig_09_distribution_diagnostics,"Source: CRO filing metadata, training partition (n=98,926)."
10,fig_10_model_ap,"Source: model_comparison.csv. Held-out test partition (n=94,421). Error bars are the bootstrap 95% CI for each model. Two baselines are drawn because the chapter reports both: average precision on this partition is measured against its own 4.07% positive rate, while the RQ1 target of 0.0092 is the register-wide rate before the cold-start exclusion."
11,fig_11_model_auc,"Source: model_comparison.csv. Held-out test partition (n=94,421). Error bars are the bootstrap 95% CI. AUC is inflated by the 96% negative majority, so average precision is the selection metric; the AP rank against each bar is why. Benchmark range from du Jardin (2021)."
12,fig_12_pr_curve,"Held-out test partition (n=94,421, 4.07% positive). Each curve is the model saved in 04_model_training scored on the same partition; the Average Precision in each label is the area under that curve and matches Table 5.1. The baseline is the precision a classifier achieves by ranking at random."
13,fig_13_roc_curve,"Held-out test partition (n=94,421). AUC 0.9412 against the 0.80 to 0.88 range du Jardin (2021) reports for ratio-based ensembles."
14,fig_14_calibration,"Held-out test partition (n=94,421), raw classifier output. This is the reliability before the isotonic calibration described in Section 4.7, and is the position the Brier score in Table 5.1 measures."
15,fig_15_ks_separation,"Held-out test partition (n=94,421). The dashed line marks the point of maximum separation between the two cumulative distributions."
16,fig_23_triage_gains,"Held-out test partition (n=94,421, 3,841 dissolutions), ranked by the Stage 1 score. The diagonal is the yield of reviewing the same share of clients in no particular order, which is the manual triage this replaces. Yield is measured on the test partition, not on a live portfolio."
17,fig_16_shap_importance,"Source: prospective_shap.csv, top_drivers_json parsed for 28,974 companies. Each company contributes only its own top drivers, so this ranks features by how often and how strongly they drive a decision, not by a mean over the whole cohort."
18,fig_17_shap_direction,"Source: prospective_shap.csv, top_drivers_json. One point per company for which the feature was a top driver."
19,fig_19_financial_ablation,"Source: held-out temporal test set. Average Precision at the model's own optimal threshold. Experiment 1 uses fixed hyperparameters across all five algorithms for a controlled feature-set comparison, so the XGBoost full-model AP of 0.6333 is not the Optuna-tuned headline of 0.6298. Experiment 2 has no no-financials arm."
20,fig_20_anomaly_vs_null,"Source: anomaly_detector_comparison.csv. Each detector is tested against its own null distribution of 1,000 label shuffles, so the two thresholds are drawn separately rather than shared. The 1,000 permuted values were not retained, so the null appears as its 95th percentile rather than as a distribution. Isolation Forest is significant; the effect size is three points above chance."
21,fig_21_lead_time_windows,"Source: rq2_lead_time_windows.csv, cohort: test and prospective combined. Companies subsequently dissolved, scored against the 95th-percentile calibrated Stage 1 threshold, test and prospective partitions combined. Each window is a one-sided binomial test against the tier's nominal 5% rate and is significant. Windows are nested, not cumulative bands: a company at 20 months counts in the 6, 12 and 18 month rows."
22,fig_18_tier_confirmation,"Source: tier_register_confirmation.csv. A lower bound, since register updates lag a company's actual failure. This is an independent check: the register outcome was not available to the model at the observation date."
23,fig_22_entity_by_tier,"Source: LLM entity classifier over the prospective cohort (n = 28,974). Shares within each tier, so tiers of very different size are comparable. 'Uncertain' is a genuine model judgement, driven mainly by uninformative company names, not a parse failure."
